window,pair_count,S,Eab,Eabp,Eapb,Eapbp,is_audited_window
0.0,136632,2.33627586,0.99897743,0.99809772,0.99796122,0.65876052,YES
0.5,136632,2.33627586,0.99897743,0.99809772,0.99796122,0.65876052,
1.0,137498,2.56498303,0.99827991,0.99553552,0.99482985,0.42366225,
1.5,137498,2.56498303,0.99827991,0.99553552,0.99482985,0.42366225,
2.0,138352,2.66896611,0.99762835,0.99359682,0.99129406,0.31355311,
2.5,138352,2.66896611,0.99762835,0.99359682,0.99129406,0.31355311,
3.0,139158,2.73372222,0.99734773,0.99201324,0.98798482,0.24362357,
3.5,139158,2.73372222,0.99734773,0.99201324,0.98798482,0.24362357,
4.0,139986,2.76871179,0.99683449,0.98994931,0.98427118,0.20234318,
4.5,139986,2.76871179,0.99683449,0.98994931,0.98427118,0.20234318,
5.0,140817,2.79768072,0.99641327,0.98854499,0.97970182,0.16697936,
5.5,140817,2.79768072,0.99641327,0.98854499,0.97970182,0.16697936,
6.0,141585,2.81484135,0.99594472,0.98648708,0.9765272,0.14411765,
6.5,141585,2.81484135,0.99594472,0.98648708,0.9765272,0.14411765,
7.0,142368,2.82343931,0.99552281,0.98465496,0.97373914,0.1304776,
7.5,142368,2.82343931,0.99552281,0.98465496,0.97373914,0.1304776,
8.0,143167,2.83331142,0.99514563,0.98260297,0.97051044,0.11494762,
8.5,143167,2.83331142,0.99514563,0.98260297,0.97051044,0.11494762,
9.0,143964,2.83663849,0.99486257,0.98052162,0.96754555,0.10629126,
9.5,143964,2.83663849,0.99486257,0.98052162,0.96754555,0.10629126,
10.0,144790,2.84456817,0.99411242,0.97860634,0.96410214,0.09225274,YES
10.5,144790,2.84456817,0.99411242,0.97860634,0.96410214,0.09225274,
11.0,145572,2.84828061,0.99359334,0.97735585,0.96088323,0.08355181,
11.5,145572,2.84828061,0.99359334,0.97735585,0.96088323,0.08355181,
12.0,146395,2.8451174,0.99302728,0.97540266,0.95755738,0.08086993,
12.5,146395,2.8451174,0.99302728,0.97540266,0.95755738,0.08086993,
13.0,147192,2.8434691,0.99255548,0.97376418,0.95411806,0.07696862,
13.5,147192,2.8434691,0.99255548,0.97376418,0.95411806,0.07696862,
14.0,147949,2.84367028,0.99217634,0.97221676,0.95081193,0.07153475,
14.5,147949,2.84367028,0.99217634,0.97221676,0.95081193,0.07153475,
15.0,148670,2.83938722,0.99184133,0.97035776,0.9473404,0.07015228,YES
15.5,148670,2.83938722,0.99184133,0.97035776,0.9473404,0.07015228,
16.0,149474,2.83531341,0.99127518,0.96820482,0.94357508,0.06774167,
16.5,149474,2.83531341,0.99127518,0.96820482,0.94357508,0.06774167,
17.0,150243,2.83363219,0.99103602,0.96619178,0.94027112,0.06386674,
17.5,150243,2.83363219,0.99103602,0.96619178,0.94027112,0.06386674,
18.0,151026,2.83102279,0.99056006,0.96408359,0.9376373,0.06125815,
18.5,151026,2.83102279,0.99056006,0.96408359,0.9376373,0.06125815,
19.0,151813,2.82672018,0.99027027,0.96261398,0.9337931,0.05995717,
19.5,151813,2.82672018,0.99027027,0.96261398,0.9337931,0.05995717,
20.0,152516,2.81880319,0.98955687,0.96117138,0.93047209,0.06239715,