scheme,retention,kept,F,E_XXX,E_XYY,E_YXY,E_YYX
scheme1_four_lambdas,0.05,10000,0.01798664,0.00242048,-0.01217566,0.00246386,-0.00585437
scheme1_four_lambdas,0.1,20000,0.00611827,-0.00769776,-0.01010367,-0.00097629,-0.00273607
scheme1_four_lambdas,0.15,30000,0.00273464,-0.00468599,-0.00338323,-0.00037419,-0.0036632
scheme1_four_lambdas,0.2,40000,0.00192526,-0.00021015,-0.00037126,-0.0011419,-0.00062226
scheme1_four_lambdas,0.25,50000,0.00139243,-0.00060296,-0.00170522,-0.00165618,0.00136602
scheme1_four_lambdas,0.3,60000,-0.00188179,0.00058668,0.00077027,0.00134036,0.00035784
scheme1_four_lambdas,0.35,70000,-0.00379886,0.000975,-0.00026043,0.00410993,0.00092436
scheme1_four_lambdas,0.4,80000,-0.0094857,0.00050047,-0.00013829,0.00474604,0.00537842
scheme1_four_lambdas,0.45,90000,-0.00866323,0.0006351,0.00049787,0.00489346,0.003907
scheme1_four_lambdas,0.5,100000,-0.0121879,0.00063666,0.00296022,0.00540859,0.00445574
scheme1_four_lambdas,0.55,110001,-0.01623521,-1.99e-05,0.00589699,0.00566965,0.00464866
scheme1_four_lambdas,0.6,120000,-0.01168352,0.00038349,0.00365675,0.00462797,0.0037823
scheme1_four_lambdas,0.65,130000,-0.01030434,0.00037738,0.00321784,0.00436133,0.00310255
scheme1_four_lambdas,0.7,140000,-0.00739366,0.0003942,0.00235559,0.00314793,0.00228435
scheme1_four_lambdas,0.75,150000,-0.00658522,0.00022788,0.00155746,0.00243413,0.00282151
scheme1_four_lambdas,0.8,160000,-0.00598789,0.00026853,0.00180235,0.00241456,0.00203951
scheme1_four_lambdas,0.85,170000,-0.00566792,0.00026122,0.0018437,0.00250505,0.00158039
scheme1_four_lambdas,0.9,180000,-0.00331859,0.00027109,-4.584e-05,0.00242427,0.00121125
scheme1_four_lambdas,0.95,190000,-0.00141216,0.00027569,8.534e-05,0.00152697,7.553e-05
scheme1_four_lambdas,1.0,200000,-0.00118673,0.00027772,-0.00011029,0.00092642,0.00064832
scheme2b_sphere_bloch,0.05,10000,-0.00966653,0.00673457,0.00546703,0.00546703,0.00546703
scheme2b_sphere_bloch,0.1,20000,0.00058182,-0.00035547,-0.00031243,-0.00031243,-0.00031243
scheme2b_sphere_bloch,0.15,30000,0.00173947,-0.00147797,-0.00107248,-0.00107248,-0.00107248
scheme2b_sphere_bloch,0.2,40000,0.01114021,-0.00117588,-0.00410537,-0.00410537,-0.00410537
scheme2b_sphere_bloch,0.25,50000,-0.00129569,0.00228813,0.00119461,0.00119461,0.00119461
scheme2b_sphere_bloch,0.3,60000,-0.00867875,0.00259722,0.00375866,0.00375866,0.00375866
scheme2b_sphere_bloch,0.35,70000,-0.00085442,0.00097112,0.00060851,0.00060851,0.00060851
scheme2b_sphere_bloch,0.4,80000,0.00349019,0.00025101,-0.00107973,-0.00107973,-0.00107973
scheme2b_sphere_bloch,0.45,90000,-0.00132146,0.00093501,0.00075216,0.00075216,0.00075216
scheme2b_sphere_bloch,0.5,100000,-0.00129,0.00068973,0.00065991,0.00065991,0.00065991
scheme2b_sphere_bloch,0.55,110001,-0.0006561,0.00065654,0.00043755,0.00043755,0.00043755
scheme2b_sphere_bloch,0.6,120000,-0.00023094,0.00059131,0.00027408,0.00027408,0.00027408
scheme2b_sphere_bloch,0.65,130000,-0.00318322,0.00068802,0.00129041,0.00129041,0.00129041
scheme2b_sphere_bloch,0.7,140000,-0.00123894,0.00064479,0.00062791,0.00062791,0.00062791
scheme2b_sphere_bloch,0.75,150000,-0.00139701,0.00061692,0.00067131,0.00067131,0.00067131
scheme2b_sphere_bloch,0.8,160000,-0.00263077,0.00068453,0.0011051,0.0011051,0.0011051
scheme2b_sphere_bloch,0.85,170000,-0.00211681,0.00068894,0.00093525,0.00093525,0.00093525
scheme2b_sphere_bloch,0.9,180000,-0.00207519,0.00070946,0.00092822,0.00092822,0.00092822
scheme2b_sphere_bloch,0.95,190000,-0.00217027,0.00072936,0.00096654,0.00096654,0.00096654
scheme2b_sphere_bloch,1.0,200000,-0.00208148,0.00074815,0.00094321,0.00094321,0.00094321
scheme3_best_phi=5.7596,0.05,10000,0.00552265,0.00335869,-0.00236485,-0.00236485,0.00256573
scheme3_best_phi=5.7596,0.1,20000,0.00256887,0.00378405,-0.00405961,-0.00405961,0.00933439
scheme3_best_phi=5.7596,0.15,30000,-0.00176179,-0.00069203,-0.00120164,-0.00120164,0.00347305
scheme3_best_phi=5.7596,0.2,40000,-0.00091732,-0.00168056,-0.0008653,-0.0008653,0.00096736
scheme3_best_phi=5.7596,0.25,50000,-0.00028432,-0.00191563,-0.0004808,-0.0004808,-0.0006697
scheme3_best_phi=5.7596,0.3,60000,0.00353143,-0.00307923,-0.00253268,-0.00253268,-0.00154531
scheme3_best_phi=5.7596,0.35,70000,-0.00047404,-0.00213077,0.00021249,0.00021249,-0.00208172
scheme3_best_phi=5.7596,0.4,80000,-0.00343902,-0.00147897,0.00081245,0.00081245,0.00033515
scheme3_best_phi=5.7596,0.45,90000,-0.00832881,-0.00068768,0.00202301,0.00202301,0.0035951
scheme3_best_phi=5.7596,0.5,100000,-0.00617807,-0.00064933,0.00106577,0.00106577,0.0033972
scheme3_best_phi=5.7596,0.55,110001,-0.01304093,9.352e-05,0.00327519,0.00327519,0.00658407
scheme3_best_phi=5.7596,0.6,120000,-0.01817695,0.00062272,0.00559406,0.00559406,0.00761156
scheme3_best_phi=5.7596,0.65,130000,-0.01145292,0.00035777,0.00314022,0.00314022,0.00553025
scheme3_best_phi=5.7596,0.7,140000,-0.00735343,0.00028499,0.0020657,0.0020657,0.00350702
scheme3_best_phi=5.7596,0.75,150000,-0.00969895,0.00033678,0.00285337,0.00285337,0.00432899
scheme3_best_phi=5.7596,0.8,160000,-0.00854974,0.00035021,0.0025312,0.0025312,0.00383755
scheme3_best_phi=5.7596,0.85,170000,-0.00544599,0.00037858,0.00113601,0.00113601,0.00355256
scheme3_best_phi=5.7596,0.9,180000,-0.00489461,0.00038356,0.00110377,0.00110377,0.00307063
scheme3_best_phi=5.7596,0.95,190000,-0.00462878,0.00037876,0.00144382,0.00144382,0.00211991
scheme3_best_phi=5.7596,1.0,200000,-0.0058056,0.00038392,0.00157983,0.00157983,0.00302987