gate_k,retained_ratio_R_gated,discarded_ratio,F_gated,F_random_mean,F_random_std,F_cont,D_gated,selection_tax
0.35000000,0.59201667,0.40798333,3.09655690,1.83291239,0.00331938,10.07172373,1.83321330,0.40798333
0.36538462,0.57731875,0.42268125,3.15026082,1.81872844,0.00337742,10.07172373,1.81870464,0.42268125
0.38076923,0.56310417,0.43689583,3.20174872,1.80249181,0.00279819,10.07172373,1.80291805,0.43689583
0.39615385,0.54925417,0.45074583,3.25396835,1.78778823,0.00304216,10.07172373,1.78725567,0.45074583
0.41153846,0.53538542,0.46461458,3.30585232,1.76989905,0.00295851,10.07172373,1.76990512,0.46461458
0.42692308,0.52178125,0.47821875,3.35770556,1.75213615,0.00293106,10.07172373,1.75198780,0.47821875
0.44230769,0.50784583,0.49215417,3.41075421,1.73175700,0.00282276,10.07172373,1.73213731,0.49215417
0.45769231,0.49473958,0.50526042,3.46171929,1.71252432,0.00313420,10.07172373,1.71264956,0.50526042
0.47307692,0.48149583,0.51850417,3.51297145,1.69142142,0.00311016,10.07172373,1.69148112,0.51850417
0.48846154,0.46916250,0.53083750,3.56013053,1.67066297,0.00317680,10.07172373,1.67027974,0.53083750
0.50384615,0.45682500,0.54317500,3.60754648,1.64827210,0.00326714,10.07172373,1.64801742,0.54317500
0.51923077,0.44485625,0.55514375,3.65197077,1.62472452,0.00341092,10.07172373,1.62460202,0.55514375
0.53461538,0.43333750,0.56666250,3.69425912,1.60089059,0.00371863,10.07172373,1.60086101,0.56666250
0.55000000,0.42203542,0.57796458,3.73600865,1.57708098,0.00362445,10.07172373,1.57672797,0.57796458
0.56538462,0.41116875,0.58883125,3.77223549,1.55134797,0.00365996,10.07172373,1.55102535,0.58883125
0.58076923,0.40069583,0.59930417,3.80622974,1.52574563,0.00377838,10.07172373,1.52514040,0.59930417
0.59615385,0.39066250,0.60933750,3.83765450,1.49922198,0.00378247,10.07172373,1.49922770,0.60933750
0.61153846,0.38068750,0.61931250,3.86658830,1.47209633,0.00358333,10.07172373,1.47196183,0.61931250
0.62692308,0.37097292,0.62902708,3.89231260,1.44430830,0.00363086,10.07172373,1.44394256,0.62902708
0.64230769,0.36115417,0.63884583,3.91809754,1.41532929,0.00360166,10.07172373,1.41503725,0.63884583
0.65769231,0.35191875,0.64808125,3.93870697,1.38641668,0.00391586,10.07172373,1.38610483,0.64808125
0.67307692,0.34276875,0.65723125,3.95668715,1.35581008,0.00377515,10.07172373,1.35622871,0.65723125
0.68846154,0.33384167,0.66615833,3.97156574,1.32496435,0.00378354,10.07172373,1.32587412,0.66615833
0.70384615,0.32489375,0.67510625,3.98364373,1.29365709,0.00407813,10.07172373,1.29426095,0.67510625
0.71923077,0.31651042,0.68348958,3.99171846,1.26406344,0.00426925,10.07172373,1.26342047,0.68348958
0.73461538,0.30814583,0.69185417,3.99664016,1.23122811,0.00399661,10.07172373,1.23154801,0.69185417
0.75000000,0.29991250,0.70008750,3.99933302,1.19906559,0.00367499,10.07172373,1.19944996,0.70008750
0.76538462,0.29171875,0.70828125,4.00000000,1.16692774,0.00360446,10.07172373,1.16687500,0.70828125
0.78076923,0.28364375,0.71635625,4.00000000,1.13394704,0.00377632,10.07172373,1.13457500,0.71635625
0.79615385,0.27557083,0.72442917,4.00000000,1.10266455,0.00372728,10.07172373,1.10228333,0.72442917
0.81153846,0.26740833,0.73259167,4.00000000,1.06855774,0.00396810,10.07172373,1.06963333,0.73259167
0.82692308,0.25941458,0.74058542,4.00000000,1.03734227,0.00393666,10.07172373,1.03765833,0.74058542
0.84230769,0.25130000,0.74870000,4.00000000,1.00484284,0.00440184,10.07172373,1.00520000,0.74870000
0.85769231,0.24331458,0.75668542,4.00000000,0.97257311,0.00481760,10.07172373,0.97325833,0.75668542
0.87307692,0.23549167,0.76450833,4.00000000,0.94297110,0.00462589,10.07172373,0.94196667,0.76450833
0.88846154,0.22749792,0.77250208,4.00000000,0.91017533,0.00459253,10.07172373,0.90999167,0.77250208
0.90384615,0.21944792,0.78055208,4.00000000,0.87715017,0.00469355,10.07172373,0.87779167,0.78055208
0.91923077,0.21151667,0.78848333,4.00000000,0.84576242,0.00453510,10.07172373,0.84606667,0.78848333
0.93461538,0.20357708,0.79642292,4.00000000,0.81458573,0.00472663,10.07172373,0.81430833,0.79642292
0.95000000,0.19567500,0.80432500,4.00000000,0.78295308,0.00449203,10.07172373,0.78270000,0.80432500