F_target,retained_ratio,discarded_ratio
2.200000,1.000000,0.000000
2.222785,0.998932,0.001068
2.245570,0.996979,0.003021
2.268354,0.994450,0.005550
2.291139,0.991455,0.008545
2.313924,0.988058,0.011942
2.336709,0.984302,0.015698
2.359494,0.980218,0.019782
2.382278,0.975831,0.024169
2.405063,0.971161,0.028839
2.427848,0.966223,0.033777
2.450633,0.961032,0.038968
2.473418,0.955599,0.044401
2.496203,0.949935,0.050065
2.518987,0.944048,0.055952
2.541772,0.937948,0.062052
2.564557,0.931640,0.068360
2.587342,0.925132,0.074868
2.610127,0.918430,0.081570
2.632911,0.911539,0.088461
2.655696,0.904464,0.095536
2.678481,0.897210,0.102790
2.701266,0.889781,0.110219
2.724051,0.882182,0.117818
2.746835,0.874415,0.125585
2.769620,0.866485,0.133515
2.792405,0.858394,0.141606
2.815190,0.850147,0.149853
2.837975,0.841745,0.158255
2.860759,0.833192,0.166808
2.883544,0.824490,0.175510
2.906329,0.815641,0.184359
2.929114,0.806649,0.193351
2.951899,0.797516,0.202484
2.974684,0.788242,0.211758
2.997468,0.778832,0.221168
3.020253,0.769286,0.230714
3.043038,0.759606,0.240394
3.065823,0.749795,0.250205
3.088608,0.739854,0.260146
3.111392,0.729784,0.270216
3.134177,0.719588,0.280412
3.156962,0.709267,0.290733
3.179747,0.698822,0.301178
3.202532,0.688255,0.311745
3.225316,0.677567,0.322433
3.248101,0.666760,0.333240
3.270886,0.655834,0.344166
3.293671,0.644792,0.355208
3.316456,0.633634,0.366366
3.339241,0.622362,0.377638
3.362025,0.610976,0.389024
3.384810,0.599479,0.400521
3.407595,0.587870,0.412130
3.430380,0.576151,0.423849
3.453165,0.564323,0.435677
3.475949,0.552387,0.447613
3.498734,0.540344,0.459656
3.521519,0.528195,0.471805
3.544304,0.515941,0.484059
3.567089,0.503582,0.496418
3.589873,0.491120,0.508880
3.612658,0.478555,0.521445
3.635443,0.465889,0.534111
3.658228,0.453122,0.546878
3.681013,0.440254,0.559746
3.703797,0.427288,0.572712
3.726582,0.414222,0.585778
3.749367,0.401059,0.598941
3.772152,0.387799,0.612201
3.794937,0.374442,0.625558
3.817722,0.360989,0.639011
3.840506,0.347442,0.652558
3.863291,0.333800,0.666200
3.886076,0.320064,0.679936
3.908861,0.306235,0.693765
3.931646,0.292313,0.707687
3.954430,0.278300,0.721700
3.977215,0.264195,0.735805
4.000000,0.250000,0.750000